,Title,Brand,design,conn,Use,Num_reviews,rating,Price,country,segment
463,audifonos originales apple earpods conector 3.5mm garantia,APPLE,Headphones,wire,No-gamer,0.0,4.5,69990,USA,Mobil accessories
464,audifonos in-ear inalambricos jbl tune 130nc tws negro,JBL,in-ear,bluetooth,No-gamer,10.0,4.5,449000,USA,high-end
467,audifonos lenovo he05x con banda magnetica - bluetooth 5.0 ,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,80000,China,Mobil accessories
468,audifonos behringer hpx4000 negro,BEHRINGER,Headphones,wire,No-gamer,9.0,4.5,192000,Germany,professional
472,"audifonos tronsmart onyx pure bt 5.3, ipx5, 3 modos d audio",OTHER,Headphones,wire,No-gamer,0.0,4.5,144900,China,Other
474,audifonos marshall monitor black,MARSHALL,Headphones,wire,No-gamer,0.0,4.5,911900,UK,high-end
475,audifonos inalambricos pioneer hdj-cue1bt negro,PIONEER,Headphones,bluetooth,No-gamer,0.0,4.5,515000,Japan,professional
479,audifonos in-ear sony ex series mdr-ex15lp blanco,SONY,in-ear,wire,No-gamer,245.0,4.5,26900,Japan,high-end
481,audifonos sony internos - mdr-e9lp,SONY,in-ear,wire,No-gamer,0.0,4.5,23900,Japan,high-end
482,audifonos manos libres para iphone 5 6 6s 7 ipod plug 3.5mm ,OTHER,in-ear,wire,No-gamer,0.0,4.5,22000,China,Other
485,audifonos in-ear inalambricos bose sport earbuds triple black,BOSE,in-ear,bluetooth,No-gamer,10.0,4.5,1029900,USA,professional
486,lenovo audifonos conduccion osea x3pro deportivo impermeable,LENOVO,Headphones,wire,No-gamer,0.0,4.5,200000,China,Mobil accessories
487,audifonos pioneer hdj-x5 silver,PIONEER,Headphones,wire,No-gamer,10.0,4.5,595000,Japan,professional
489,audifonos in-ear inalambricos samsung galaxy buds2 verde,SAMSUNG,in-ear,bluetooth,No-gamer,135.0,4.5,349900,Korea,Mobil accessories
490,audifonos jbl tune 500 rosa,JBL,Headphones,wire,No-gamer,280.0,4.5,168400,USA,high-end
491,audifonos originales para huawei,HUAWEI,Headphones,wire,No-gamer,0.0,4.5,48990,China,Mobil accessories
492,"logitech g535, diadema gamer inalambrica lightspeed, pc/ps5",LOGITECH,Headphones,wire,gamer,0.0,4.5,499900,Swiss,high-end
496,audifonos in-ear inalambricos jbl tune 115bt negro,JBL,in-ear,bluetooth,No-gamer,73.0,4.5,159900,USA,high-end
497,mi true wireless earbuds basic 2 originales xiaomi,XIAOMI,in-ear,wire,No-gamer,0.0,4.5,89900,China,Mobil accessories
499,audifonos inalambricos lenovo livepods lp40 + estuche rigido,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,98900,China,Mobil accessories
502,audifonos bluetooth inalambricos xiaomi redmi buds 3 lite,XIAOMI,Headphones,bluetooth,No-gamer,0.0,4.5,114890,China,Mobil accessories
506,audifonos manoslibres xiaomi piston 3 originales,XIAOMI,Headphones,wire,No-gamer,0.0,4.5,31000,China,Mobil accessories
507,audifonos in-ear inalambricos jbl tune 225tws black,JBL,in-ear,bluetooth,No-gamer,9.0,4.5,428500,USA,high-end
508,audifonos 100% lenovo lp40 pro bluetooth 5.1 purpura ya!!,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,84000,China,Mobil accessories
509,audifonos sony linkbuds resistentes al agua | wf-l900,SONY,Headphones,wire,No-gamer,0.0,4.5,999900,Japan,high-end
510,audifonos samsung in ear fit eg920b s6 s7 manos libres,SAMSUNG,in-ear,wire,No-gamer,0.0,4.5,49990,Korea,Mobil accessories
513,audifonos behringer hpx6000 negro,BEHRINGER,Headphones,wire,No-gamer,9.0,4.5,287000,Germany,professional
514,diadema manos libres bluetooth v5.0 motorola moto xt220,MOTOROLA,in-ear,bluetooth,No-gamer,0.0,4.5,144900,USA,Mobil accessories
515,audifonos inalambricos aftershokz air midnight blue,AFTERSHOKZ,Headphones,bluetooth,No-gamer,26.0,4.5,909990,USA,high-end
516,repuesto airpods pro izquierdo original,APPLE,in-ear,wire,No-gamer,0.0,4.5,410000,USA,Mobil accessories
518,audifonos in-ear inalambricos xiaomi redmi airdots 2 blanco,XIAOMI,in-ear,bluetooth,No-gamer,0.0,4.5,52000,China,Mobil accessories
520,"audifinos inhalambricos bluetoot5.1 conduccion osea, 8 horas",OTHER,Headphones,wire,No-gamer,0.0,4.5,53900,China,Other
521,audifonos inalambricos conduccion osea lenovo x5 bluetooth,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,364600,China,Mobil accessories
525,lenovo inalambrico alta calidad auriculares + estuche,LENOVO,Headphones,bluetooth,No-gamer,0.0,4.5,110000,China,Mobil accessories
